"Outcome","ID","bp_genA","bp_genT","bp_genC","bp_genG","bp_genome_total","fr_genA","fr_genT","fr_genC","fr_genG","genomic_topological_entropy_score","genomic_chargaff_score_pf","genomic_chargaff_score_ct","genomic_shannon_score","n_cds_plus","n_cds_minus","n_cds_total","bp_cdsA","bp_cdsT","bp_cdsC","bp_cdsG","bp_cds_total","fr_cdsA","fr_cdsT","fr_cdsC","fr_cdsG","cds_topological_entropy_score","cds_chargaff_score_pf","cds_chargaff_score_ct","cds_shannon_score","n_ncRNA_plus","n_ncRNA_minus","n_ncRNA_total","bp_ncRNA_A","bp_ncRNA_T","bp_ncRNA_C","bp_ncRNA_G","bp_ncRNA_total","fr_ncRNA_A","fr_ncRNA_T","fr_ncRNA_C","fr_ncRNA_G","ncRNA_topological_entropy_score","ncRNA_chargaff_score_pf","ncRNA_chargaff_score_ct","ncRNA_shannon_score","n_tRNA_plus","n_tRNA_minus","n_tRNA_total","bp_tRNA_A","bp_tRNA_T","bp_tRNA_C","bp_tRNA_G","bp_tRNA_total","fr_tRNA_A","fr_tRNA_T","fr_tRNA_C","fr_tRNA_G","tRNA_topological_entropy_score","tRNA_chargaff_score_pf","tRNA_chargaff_score_ct","tRNA_shannon_score","n_rRNA_plus","n_rRNA_minus","n_rRNA_total","bp_rRNA_A","bp_rRNA_T","bp_rRNA_C","bp_rRNA_G","bp_rRNA_total","fr_rRNA_A","fr_rRNA_T","fr_rRNA_C","fr_rRNA_G","rRNA_topological_entropy_score","rRNA_chargaff_score_pf","rRNA_chargaff_score_ct","rRNA_shannon_score"
"Bacteria","NZ_CP024847",895625,897560,516342,511133,2820660,0.32,0.32,0.18,0.18,0.9428,0.0061,0.9939,1.9462,1160,1239,2399,775220,756382,401897,496924,2430423,0.32,0.31,0.16,0.2,0.8967,0.2,0.8261,1.9346,1,1,2,130,108,100,125,463,0.27,0.22,0.23,0.28,0.8988,0.1903,0.8267,1.9882,24,22,46,735,788,979,1098,3600,0.2,0.22,0.27,0.3,0.8898,0.1418,0.8711,1.9736,6,6,12,5072,3912,3754,5537,18275,0.28,0.21,0.22,0.3,0.9098,0.2971,0.7437,1.982
"Bacteria","NZ_CP127012",589488,590902,429465,430104,2039959,0.29,0.29,0.21,0.21,0.9499,0.0019,0.9981,1.9821,840,894,1734,479080,423821,312771,369201,1584873,0.31,0.27,0.19,0.23,0.9016,0.2171,0.8098,1.9671,2,1,3,183,165,127,168,643,0.27,0.26,0.2,0.27,0.9009,0.226,0.8047,1.9832,30,28,58,896,1008,1115,1357,4376,0.2,0.23,0.25,0.31,0.8916,0.1837,0.8375,1.9744,9,6,15,6228,4957,4937,6962,23084,0.26,0.22,0.22,0.3,0.9184,0.2524,0.7789,1.9852
"Bacteria","NZ_CP031933",868447,861505,486553,498468,2714973,0.32,0.32,0.18,0.18,0.9413,0.0161,0.9841,1.9449,1165,1020,2185,633314,599695,321538,394115,1948662,0.33,0.31,0.16,0.2,0.8934,0.2206,0.8094,1.9305,1,1,2,123,114,84,123,444,0.26,0.27,0.19,0.29,0.9087,0.306,0.7403,1.9779,23,35,58,939,1048,1097,1315,4399,0.21,0.24,0.25,0.3,0.8929,0.1765,0.845,1.9772,8,3,11,4301,3436,3212,4540,15489,0.27,0.21,0.22,0.3,0.9177,0.2768,0.7581,1.9835
"Bacteria","NZ_CP034683",1232770,1235285,1079435,1080864,4628354,0.27,0.27,0.23,0.23,0.952,0.0017,0.9983,1.9968,1954,1889,3843,1043761,1049287,872983,991263,3957294,0.27,0.27,0.22,0.25,0.9058,0.1543,0.8629,1.9873,1,2,3,140,127,165,205,637,0.22,0.22,0.25,0.31,0.8909,0.2563,0.7789,1.9657,31,45,76,1172,1256,1683,1830,5941,0.2,0.21,0.28,0.31,0.8847,0.1363,0.8772,1.9654,9,9,18,7198,5788,5868,8333,27187,0.26,0.2,0.24,0.31,0.912,0.2568,0.776,1.9786
"Bacteria","NC_003869",837915,841081,505786,504663,2689445,0.31,0.31,0.19,0.19,0.9384,0.003,0.997,1.955,1102,1159,2261,724270,566647,308000,477731,2076648,0.35,0.27,0.15,0.23,0.8914,0.3795,0.6936,1.9185,2,2,4,236,186,240,321,983,0.24,0.2,0.24,0.32,0.8827,0.2555,0.7793,1.9714,23,33,56,882,879,1264,1389,4414,0.2,0.2,0.29,0.31,0.8866,0.1259,0.8846,1.9608,6,6,12,4608,2917,4448,6428,18401,0.24,0.16,0.25,0.35,0.9006,0.3654,0.6938,1.947
"Bacteria","NZ_FO818640",1720656,1721232,1395210,1390533,6228153,0.28,0.28,0.22,0.22,0.9499,0.0018,0.9982,1.9919,2374,2428,4802,1281576,1247740,997108,1072429,4598853,0.28,0.27,0.22,0.23,0.9042,0.1784,0.8441,1.9773,1,2,3,159,152,152,202,665,0.24,0.22,0.23,0.3,0.8988,0.1706,0.8481,1.9865,17,25,42,601,719,823,1026,3169,0.19,0.23,0.26,0.32,0.8847,0.2171,0.8101,1.9656,3,3,6,2352,1736,2043,2848,8979,0.26,0.19,0.24,0.31,0.9033,0.304,0.7379,1.9759
"Bacteria","NZ_LR215729",1023059,1014710,1370893,1361765,4770427,0.21,0.21,0.29,0.29,0.9489,0.0074,0.9926,1.9846,2061,2047,4108,844704,846654,1147022,1185535,4023915,0.21,0.21,0.28,0.29,0.9018,0.1505,0.8666,1.9733,2,1,3,135,111,178,211,635,0.2,0.18,0.29,0.33,0.8907,0.208,0.8148,1.9491,24,43,67,1015,1109,1486,1631,5241,0.19,0.21,0.28,0.31,0.8905,0.1368,0.8762,1.9616,10,6,16,5993,4908,4943,7013,22857,0.26,0.22,0.23,0.29,0.9022,0.2121,0.8129,1.9877
"Bacteria","NC_009483",1173278,1177213,1400083,1385790,5136364,0.23,0.23,0.27,0.27,0.9552,0.0068,0.9932,1.9948,1870,2328,4198,989081,883269,1139383,1183830,4195563,0.24,0.21,0.26,0.28,0.9054,0.1791,0.8432,1.9751,1,4,5,261,196,248,310,1015,0.26,0.2,0.25,0.29,0.8842,0.2541,0.7842,1.9592,24,25,49,759,780,1124,1210,3873,0.2,0.2,0.29,0.31,0.8884,0.1366,0.8758,1.9589,3,3,6,2402,1924,2070,2894,9290,0.23,0.2,0.24,0.33,0.918,0.2236,0.8027,1.9685
"Bacteria","NZ_CP014945",951350,952340,715119,713730,3332539,0.29,0.29,0.21,0.21,0.9518,0.0015,0.9985,1.9853,1349,1268,2617,756710,731069,561800,634854,2684433,0.29,0.27,0.21,0.23,0.9073,0.1593,0.8584,1.9785,2,1,3,154,151,158,197,660,0.23,0.24,0.23,0.29,0.9082,0.2518,0.7836,1.9801,24,26,50,784,886,1047,1184,3901,0.2,0.23,0.27,0.3,0.8938,0.1544,0.8618,1.973,3,12,15,6105,4875,4780,6780,22540,0.27,0.22,0.23,0.29,0.9175,0.228,0.7996,1.9875
"Bacteria","NZ_CP059569",545380,552290,649299,657530,2404499,0.23,0.23,0.27,0.27,0.9312,0.0126,0.9875,1.9945,1130,1241,2371,470894,381735,558037,508071,1918737,0.25,0.2,0.28,0.26,0.8832,0.3,0.7531,1.9579,1,2,3,155,113,167,193,628,0.23,0.19,0.27,0.31,0.8882,0.2391,0.7958,1.9607,28,28,56,869,988,1189,1365,4411,0.2,0.22,0.27,0.31,0.8926,0.1657,0.8531,1.9684,9,3,12,4936,3856,3916,5464,18172,0.27,0.21,0.24,0.28,0.9078,0.2683,0.7646,1.9846
"Bacteria","NZ_CP058354",1674665,1678158,2935925,2937500,9226248,0.18,0.18,0.32,0.32,0.9383,0.0013,0.9987,1.9455,3955,4115,8070,1316670,1300091,2408885,2336423,7362069,0.18,0.18,0.32,0.32,0.8857,0.14,0.8763,1.933,2,1,3,132,107,207,238,684,0.19,0.17,0.3,0.34,0.8786,0.2201,0.8067,1.9277,26,29,55,783,867,1237,1398,4285,0.18,0.2,0.29,0.33,0.8864,0.1469,0.8678,1.9526,3,3,6,2270,1814,2100,2770,8954,0.24,0.21,0.26,0.29,0.9109,0.1917,0.829,1.9829
"Bacteria","NZ_CP027002",1015648,1011868,759777,761898,3549191,0.29,0.29,0.21,0.21,0.9469,0.0033,0.9967,1.9853,1649,1585,3234,932696,744057,527448,765592,2969793,0.32,0.25,0.17,0.25,0.8939,0.346,0.7161,1.9506,1,2,3,208,181,174,234,797,0.26,0.24,0.21,0.29,0.8873,0.1979,0.8288,1.9774,48,10,58,880,1012,1099,1358,4349,0.2,0.23,0.25,0.31,0.8899,0.2052,0.8215,1.9703,12,3,15,6313,4450,4825,7117,22705,0.26,0.19,0.23,0.33,0.9191,0.3445,0.7069,1.9665
"Bacteria","NZ_OX341517",904073,903825,1554104,1585008,4947010,0.18,0.18,0.31,0.32,0.936,0.01,0.9901,1.9471,2182,2349,4531,754701,740390,1366137,1302136,4163364,0.18,0.18,0.32,0.31,0.8872,0.1467,0.8703,1.9362,1,2,3,129,101,198,223,651,0.19,0.17,0.31,0.33,0.8717,0.2719,0.7712,1.927,26,24,50,734,790,1127,1256,3907,0.19,0.2,0.29,0.32,0.8861,0.1517,0.863,1.9554,3,3,6,2238,1802,2050,2738,8828,0.23,0.2,0.25,0.31,0.9164,0.1973,0.8232,1.9742
"Bacteria","NZ_CP042434",1679071,1724171,1196398,1173513,5773153,0.29,0.3,0.21,0.2,0.9534,0.0229,0.9774,1.9767,1804,2527,4331,1303675,1159861,845526,973165,4282227,0.31,0.27,0.19,0.23,0.9048,0.1855,0.8369,1.9672,1,1,2,136,111,118,147,512,0.24,0.21,0.25,0.3,0.8971,0.1536,0.8615,1.9727,26,21,47,716,866,863,1105,3550,0.2,0.24,0.24,0.31,0.8905,0.2254,0.8055,1.9683,3,6,9,3826,2977,2769,3787,13359,0.27,0.24,0.22,0.27,0.9076,0.2335,0.7935,1.9886
"Bacteria","NZ_CP020664",1438559,1440528,1069973,1071183,5020243,0.29,0.29,0.21,0.21,0.9496,0.0012,0.9988,1.9844,2126,2217,4343,1098391,1048805,806551,845753,3799500,0.29,0.28,0.21,0.22,0.9,0.174,0.8482,1.9667,2,1,3,219,207,169,203,798,0.25,0.26,0.22,0.26,0.894,0.1537,0.8578,1.9875,24,18,42,623,733,821,1014,3191,0.19,0.23,0.26,0.32,0.888,0.2123,0.8141,1.968,3,3,6,2413,1688,2076,2800,8977,0.25,0.2,0.25,0.3,0.9072,0.2498,0.7826,1.9798
"Bacteria","NZ_CP006569",996753,1006024,1354844,1351907,4709528,0.21,0.21,0.29,0.29,0.9503,0.0057,0.9943,1.9838,2009,1862,3871,760844,790919,1050139,1117474,3719376,0.21,0.22,0.28,0.3,0.9008,0.1458,0.8714,1.9674,1,6,7,252,201,326,370,1149,0.21,0.19,0.28,0.32,0.8698,0.2974,0.7624,1.9254,32,44,76,1170,1271,1667,1832,5940,0.2,0.21,0.28,0.31,0.8869,0.1516,0.8629,1.9652,10,13,23,8144,6464,7412,10245,32265,0.23,0.18,0.26,0.32,0.9097,0.2323,0.7947,1.9609
"Bacteria","NC_021352",769788,773769,899185,907877,3350619,0.23,0.23,0.27,0.27,0.9553,0.0074,0.9926,1.9955,1437,1416,2853,621042,631829,772004,751748,2776623,0.23,0.23,0.28,0.27,0.907,0.1821,0.8404,1.9805,1,1,2,118,96,121,170,505,0.23,0.18,0.25,0.33,0.8898,0.241,0.7872,1.9639,35,24,59,839,973,1223,1415,4450,0.19,0.22,0.27,0.32,0.8897,0.2025,0.8216,1.9573,9,9,18,6482,6413,6006,9451,28352,0.22,0.21,0.23,0.34,0.9092,0.2112,0.8236,1.9672
"Bacteria","NZ_CP047495",1158805,1162834,1262940,1267403,4851982,0.24,0.24,0.26,0.26,0.9549,0.0035,0.9965,1.9987,2154,1915,4069,953520,948120,1042583,1142893,4087116,0.24,0.24,0.25,0.28,0.9066,0.1624,0.8565,1.9822,1,5,6,227,212,268,308,1015,0.22,0.22,0.26,0.3,0.8869,0.2266,0.8084,1.9639,48,29,77,1203,1301,1684,1862,6050,0.2,0.22,0.28,0.31,0.8868,0.1565,0.8596,1.9669,16,6,22,8377,6577,7125,10049,32128,0.24,0.19,0.25,0.32,0.9099,0.2485,0.7807,1.9657
"Bacteria","NZ_CP100390",1211213,1203846,920115,919750,4254924,0.28,0.28,0.22,0.22,0.9589,0.0032,0.9968,1.9868,1777,1763,3540,1016063,946065,713340,826537,3502005,0.29,0.27,0.2,0.24,0.9097,0.2017,0.8249,1.9738,1,2,3,164,144,155,201,664,0.24,0.21,0.23,0.31,0.8869,0.2714,0.7629,1.9722,24,30,54,805,878,1211,1313,4207,0.19,0.21,0.29,0.31,0.8878,0.1359,0.8772,1.96,3,12,15,6015,4901,4949,6885,22750,0.25,0.21,0.24,0.3,0.9175,0.1917,0.8308,1.9858
"Bacteria","NZ_CP080025",1711711,1697962,1137226,1146771,5693670,0.3,0.3,0.2,0.2,0.9504,0.0082,0.9918,1.9716,2278,2032,4310,1486778,1299123,850708,1092786,4729395,0.32,0.27,0.18,0.23,0.9015,0.2493,0.7888,1.9534,1,1,2,132,111,115,144,502,0.24,0.22,0.25,0.29,0.889,0.1598,0.8555,1.984,26,16,42,645,775,801,1010,3231,0.2,0.24,0.25,0.31,0.8894,0.2155,0.8115,1.9706,6,9,15,5882,4522,5047,7099,22550,0.24,0.19,0.25,0.32,0.9188,0.208,0.8183,1.9686
"Bacteria","NZ_CP101620",1006715,1008213,459074,457123,2931225,0.34,0.34,0.16,0.16,0.9262,0.0029,0.9971,1.8961,1394,1415,2809,733000,668007,265025,379518,2045550,0.36,0.33,0.13,0.18,0.872,0.2972,0.7553,1.8696,1,2,3,192,147,95,129,563,0.32,0.27,0.18,0.23,0.8961,0.2629,0.7725,1.9574,24,27,51,831,910,1084,1132,3957,0.21,0.23,0.27,0.29,0.8962,0.1474,0.8673,1.9792,9,6,15,6151,3932,5070,7425,22578,0.28,0.17,0.23,0.31,0.9031,0.3843,0.6835,1.9635
"Bacteria","NZ_CP102267",1374694,1366630,967837,976567,4685728,0.29,0.29,0.21,0.21,0.9479,0.0074,0.9926,1.979,1919,1995,3914,1174187,974496,671234,899177,3719094,0.32,0.26,0.18,0.24,0.8956,0.2932,0.7546,1.9531,1,2,3,201,164,190,240,795,0.25,0.21,0.24,0.3,0.9043,0.2034,0.8217,1.9838,44,16,60,916,1042,1150,1414,4522,0.2,0.23,0.25,0.31,0.8885,0.206,0.8202,1.971,18,3,21,8619,6120,6955,10030,31724,0.25,0.19,0.24,0.33,0.9087,0.3006,0.7406,1.9664
"Bacteria","NZ_CP015031",649018,647866,478268,478042,2253194,0.29,0.29,0.21,0.21,0.9453,0.0011,0.9989,1.9835,882,1058,1940,553479,528138,387020,447379,1916016,0.29,0.28,0.2,0.23,0.9014,0.1751,0.8453,1.9725,2,1,3,175,152,159,197,683,0.24,0.24,0.23,0.29,0.9021,0.3109,0.7369,1.9781,27,30,57,889,977,1232,1375,4473,0.2,0.22,0.28,0.31,0.8899,0.1431,0.8709,1.9701,13,6,19,7414,5825,5691,8528,27458,0.25,0.22,0.22,0.31,0.919,0.2465,0.7876,1.9798
"Bacteria","NZ_CP027059",1854574,1857988,2133487,2122915,7969064,0.23,0.23,0.27,0.27,0.95,0.0034,0.9966,1.9966,3024,3051,6075,1440272,1326847,1533185,1781677,6081981,0.24,0.22,0.25,0.29,0.9028,0.1906,0.8326,1.9772,2,1,3,201,195,191,268,855,0.23,0.24,0.22,0.3,0.9078,0.2427,0.789,1.9792,26,78,104,1588,1692,2235,2555,8070,0.2,0.21,0.28,0.32,0.8893,0.1598,0.8576,1.9595,19,18,37,14555,10601,12501,17871,55528,0.25,0.19,0.24,0.32,0.9142,0.274,0.7615,1.9747
"Bacteria","NZ_CP072549",864768,860531,656687,658681,3040667,0.28,0.28,0.22,0.22,0.9507,0.004,0.996,1.9868,1299,1327,2626,683038,683506,518190,589090,2473824,0.28,0.28,0.21,0.24,0.9047,0.1551,0.8626,1.9779,2,1,3,163,148,152,196,659,0.24,0.24,0.23,0.29,0.9037,0.2373,0.7944,1.984,43,43,86,1344,1500,1831,2037,6712,0.2,0.22,0.27,0.3,0.8875,0.1433,0.8711,1.9726,9,12,21,8476,6977,6744,9636,31833,0.26,0.22,0.23,0.29,0.9084,0.2143,0.8112,1.9875
"Bacteria","NZ_OX366371",718869,718652,373396,381380,2192297,0.33,0.33,0.17,0.17,0.9307,0.0107,0.9894,1.9288,903,904,1807,607034,473631,232998,340405,1654068,0.37,0.28,0.14,0.21,0.8882,0.3408,0.7205,1.9009,1,2,3,199,171,106,135,611,0.31,0.3,0.17,0.21,0.8821,0.2379,0.7903,1.9461,15,19,34,552,627,648,795,2622,0.21,0.24,0.25,0.3,0.8918,0.1934,0.8293,1.9799,1,2,3,1305,1103,794,1173,4375,0.31,0.25,0.19,0.26,0.9152,0.2478,0.7835,1.9768
"Bacteria","NZ_CP117471",919621,915120,1682076,1664155,5180972,0.18,0.18,0.32,0.32,0.9328,0.0078,0.9922,1.9377,2287,2312,4599,767428,767031,1410208,1462693,4407360,0.18,0.18,0.32,0.33,0.8843,0.1452,0.871,1.925,1,1,2,96,71,143,174,484,0.18,0.16,0.31,0.35,0.881,0.2428,0.7895,1.9115,24,31,55,806,852,1258,1384,4300,0.19,0.2,0.29,0.32,0.8835,0.1373,0.8757,1.9519,6,3,9,3309,2688,3081,4116,13194,0.23,0.2,0.26,0.31,0.9112,0.1928,0.8276,1.9721
"Bacteria","NZ_CP034035",954747,956554,1059546,1057246,4028093,0.24,0.24,0.26,0.26,0.9521,0.002,0.998,1.9981,1711,1545,3256,753997,761658,836738,933636,3286029,0.24,0.24,0.25,0.28,0.9057,0.1641,0.8552,1.981,3,1,4,166,167,199,244,776,0.21,0.24,0.24,0.3,0.8863,0.2433,0.7979,1.9552,33,39,72,1126,1203,1578,1740,5647,0.2,0.21,0.28,0.31,0.887,0.1531,0.8622,1.9661,7,15,22,8220,6257,7328,10259,32064,0.23,0.19,0.25,0.33,0.9083,0.2435,0.7856,1.9613
"Bacteria","NZ_CP023009",899976,902641,1108542,1104410,4015569,0.22,0.22,0.28,0.28,0.9504,0.0033,0.9967,1.9925,1584,1705,3289,690117,679669,861528,916586,3147900,0.23,0.22,0.27,0.29,0.9046,0.151,0.8661,1.976,6,6,12,399,279,574,579,1831,0.21,0.15,0.32,0.31,0.8891,0.2697,0.7727,1.9286,33,50,83,1296,1381,1816,2002,6495,0.2,0.21,0.28,0.31,0.8879,0.1491,0.866,1.9661,6,16,22,8298,6600,7117,10071,32086,0.23,0.19,0.25,0.32,0.9097,0.2345,0.7928,1.9636
"Bacteria","NZ_CP043318",1129441,1128928,1429029,1424029,5111427,0.22,0.22,0.28,0.28,0.9514,0.002,0.998,1.9902,2146,2410,4556,946981,913657,1198923,1275646,4335207,0.23,0.22,0.27,0.29,0.9025,0.1501,0.8669,1.972,3,4,7,271,208,325,365,1169,0.23,0.19,0.28,0.3,0.8911,0.2301,0.8129,1.9461,39,43,82,1264,1397,1797,1980,6438,0.2,0.22,0.28,0.31,0.8876,0.1639,0.8524,1.9652,9,16,25,9388,7395,8260,11577,36620,0.23,0.19,0.25,0.32,0.9143,0.2177,0.8078,1.969
"Bacteria","NC_014721",891119,889506,495720,510128,2786473,0.32,0.32,0.18,0.18,0.9349,0.0152,0.985,1.9434,1163,1038,2201,722039,589292,308931,447443,2067705,0.35,0.28,0.15,0.22,0.8886,0.3255,0.7312,1.9175,1,2,3,207,155,202,269,833,0.25,0.19,0.24,0.32,0.896,0.2828,0.7602,1.9678,18,30,48,756,766,1082,1198,3802,0.2,0.2,0.28,0.32,0.8868,0.1495,0.8655,1.9606,6,3,9,3415,2348,3295,4814,13872,0.25,0.17,0.24,0.34,0.9055,0.365,0.6933,1.9535
"Bacteria","NZ_OY782701",1600189,1603470,1046451,1041603,5291713,0.3,0.3,0.2,0.2,0.9499,0.0033,0.9967,1.9677,2044,1976,4020,1416095,1229367,809011,983529,4438002,0.32,0.28,0.18,0.22,0.9006,0.2167,0.8116,1.9528,1,1,2,127,102,123,161,513,0.23,0.18,0.26,0.32,0.8865,0.2185,0.8046,1.9607,21,30,51,774,955,952,1217,3898,0.2,0.25,0.24,0.31,0.8867,0.2317,0.7982,1.9727,6,3,9,3648,2892,2817,3936,13293,0.26,0.22,0.23,0.3,0.9243,0.2348,0.7923,1.9862
"Bacteria","NZ_CP149940",1081708,1073627,1597624,1592110,5345069,0.2,0.2,0.3,0.3,0.9424,0.0055,0.9945,1.9728,2377,2453,4830,915484,865623,1373534,1425534,4580175,0.21,0.19,0.29,0.31,0.8932,0.162,0.8575,1.9525,12,6,18,569,438,746,759,2512,0.23,0.18,0.3,0.3,0.8789,0.2461,0.7929,1.9458,56,31,87,1364,1501,1896,2098,6859,0.2,0.22,0.28,0.31,0.8886,0.1665,0.8506,1.9673,9,13,22,8289,6623,7116,10045,32073,0.24,0.19,0.25,0.32,0.9136,0.2411,0.7887,1.9662
"Bacteria","NC_009831",1484345,1490902,1272750,1269677,5517674,0.27,0.27,0.23,0.23,0.9603,0.0034,0.9966,1.9956,2064,2229,4293,1165379,1120792,972464,1083544,4342179,0.27,0.26,0.22,0.25,0.9124,0.1597,0.8581,1.9853,2,1,3,149,128,157,197,631,0.23,0.2,0.26,0.31,0.8953,0.2223,0.8056,1.9572,57,70,127,2071,2206,2750,2957,9984,0.21,0.22,0.28,0.3,0.8911,0.1312,0.8824,1.9742,22,15,37,14528,11820,11811,16628,54787,0.25,0.22,0.24,0.29,0.9109,0.2014,0.8222,1.986
"Bacteria","NZ_CP016786",994593,1045579,443372,386383,2869927,0.35,0.36,0.15,0.13,0.9174,0.0937,0.9114,1.8663,945,1449,2394,884985,688511,241488,413338,2228322,0.4,0.31,0.11,0.19,0.8672,0.4174,0.6698,1.8335,1,2,3,230,214,161,219,824,0.28,0.27,0.19,0.26,0.913,0.1845,0.8374,1.9799,29,54,83,1314,1480,1743,1914,6451,0.2,0.23,0.27,0.3,0.8932,0.1598,0.8573,1.9745,9,18,27,11261,8549,8724,12317,40851,0.27,0.21,0.22,0.3,0.9209,0.2821,0.7539,1.9827
"Bacteria","NC_016894",1233183,1220454,781488,809652,4044777,0.3,0.3,0.19,0.2,0.9442,0.0229,0.9774,1.9668,1729,1629,3358,1012332,919295,573429,733510,3238566,0.32,0.29,0.17,0.22,0.8969,0.2457,0.7902,1.9494,2,1,3,230,190,155,211,786,0.29,0.25,0.2,0.26,0.9066,0.2202,0.8161,1.9757,18,42,60,973,1048,1269,1434,4724,0.21,0.22,0.27,0.3,0.8868,0.1483,0.8671,1.9722,10,6,16,6410,4530,4798,6898,22636,0.27,0.2,0.23,0.31,0.9151,0.3123,0.7311,1.9766
"Bacteria","NZ_CP011280",475557,476449,188085,190124,1330215,0.36,0.36,0.14,0.14,0.707,0.0063,0.9937,1.8613,614,571,1185,484378,351880,126526,205066,1167850,0.42,0.3,0.11,0.18,0.8661,0.4137,0.6693,1.8214,1,1,2,192,166,84,153,595,0.32,0.28,0.14,0.26,0.8962,0.4348,0.655,1.932,22,14,36,626,669,729,799,2823,0.22,0.24,0.26,0.28,0.8909,0.1497,0.8653,1.9859,7,3,10,4285,3063,2422,3936,13706,0.32,0.23,0.19,0.26,0.8943,0.3433,0.7122,1.9654
"Bacteria","NZ_CP065640",1023737,1011683,1481108,1478482,4995010,0.2,0.2,0.3,0.3,0.9425,0.0068,0.9932,1.9752,2244,2186,4430,841954,815989,1236452,1324844,4219239,0.21,0.2,0.29,0.31,0.8939,0.1631,0.8563,1.9544,12,1,13,450,304,538,603,1895,0.24,0.16,0.29,0.32,0.8683,0.2836,0.7682,1.9447,57,27,84,1313,1437,1836,2030,6616,0.2,0.22,0.28,0.31,0.8861,0.158,0.8578,1.9664,9,13,22,8287,6561,7169,10056,32073,0.24,0.19,0.25,0.32,0.914,0.2415,0.7882,1.9662
"Bacteria","NZ_CP076048",1356003,1361020,2835398,2844367,8396788,0.16,0.16,0.34,0.34,0.9284,0.0034,0.9966,1.9082,3665,3642,7307,1161255,1139066,2502604,2417226,7220151,0.16,0.16,0.34,0.33,0.8787,0.1426,0.8732,1.8978,1,1,2,94,69,172,197,532,0.16,0.13,0.33,0.37,0.8615,0.1496,0.8678,1.8663,29,20,49,674,763,1074,1215,3726,0.18,0.21,0.29,0.33,0.8862,0.1956,0.8285,1.9459,6,6,12,4526,3704,4534,6309,19073,0.23,0.17,0.27,0.33,0.8915,0.2922,0.7589,1.9458
"Bacteria","NZ_CP100388",1067915,1071215,1335739,1331355,4806224,0.22,0.22,0.28,0.28,0.9518,0.0032,0.9968,1.9913,2073,2232,4305,916933,897390,1140392,1228773,4183488,0.22,0.22,0.27,0.29,0.9043,0.1492,0.8675,1.9767,2,3,5,208,171,243,281,903,0.23,0.21,0.26,0.3,0.8927,0.2033,0.8275,1.951,43,40,83,1276,1393,1833,2010,6512,0.2,0.21,0.28,0.31,0.8872,0.1581,0.8571,1.9644,9,16,25,9379,7388,8284,11577,36628,0.23,0.19,0.25,0.32,0.9124,0.2235,0.8023,1.9676
"Bacteria","NZ_AP018685",801475,799951,582418,584458,2768302,0.29,0.29,0.21,0.21,0.9519,0.0027,0.9973,1.9822,1121,1144,2265,642477,624944,445958,504647,2218026,0.29,0.28,0.2,0.23,0.9069,0.1691,0.8503,1.9729,1,2,3,173,162,165,217,717,0.22,0.23,0.24,0.3,0.9067,0.1988,0.8243,1.9749,33,55,88,1376,1466,1971,2123,6936,0.2,0.21,0.28,0.31,0.8921,0.1148,0.8955,1.9678,10,15,25,9685,7869,7808,11013,36375,0.25,0.21,0.23,0.3,0.9166,0.228,0.798,1.9847
"Bacteria","NZ_LR134343",615562,613050,489818,484435,2202865,0.28,0.28,0.22,0.22,0.9375,0.0076,0.9925,1.9903,889,929,1818,492476,468211,383474,430198,1774359,0.28,0.27,0.21,0.24,0.8947,0.1979,0.8283,1.9741,1,2,3,182,169,149,189,689,0.26,0.25,0.22,0.27,0.9012,0.2702,0.7666,1.9816,27,23,50,799,922,1031,1176,3928,0.2,0.24,0.26,0.3,0.8887,0.1568,0.8594,1.977,6,6,12,5130,4119,3899,5458,18606,0.27,0.22,0.23,0.29,0.9162,0.2323,0.7949,1.9877
"Bacteria","NC_020127",487706,484693,241233,243935,1457567,0.33,0.33,0.17,0.17,0.8452,0.0087,0.9914,1.9178,645,568,1213,401215,381280,197377,218709,1198581,0.34,0.32,0.16,0.18,0.8923,0.1954,0.8299,1.9164,1,2,3,176,157,129,166,628,0.27,0.23,0.23,0.27,0.8842,0.3017,0.7564,1.9424,22,23,45,744,777,980,1077,3578,0.21,0.22,0.27,0.3,0.8883,0.1377,0.8755,1.9743,3,3,6,2530,1958,1946,2762,9196,0.26,0.22,0.22,0.3,0.913,0.2387,0.7903,1.9855
"Bacteria","NZ_CP060202",950238,948282,1306514,1306037,4511071,0.21,0.21,0.29,0.29,0.9494,0.0012,0.9988,1.9819,1781,1801,3582,788435,732341,1119896,1065225,3705897,0.22,0.2,0.3,0.29,0.9017,0.1509,0.8667,1.9677,1,1,2,116,84,135,170,505,0.22,0.19,0.26,0.33,0.8891,0.251,0.7819,1.962,26,23,49,752,881,941,1154,3728,0.2,0.24,0.25,0.31,0.8876,0.197,0.8269,1.9704,6,3,9,3528,2739,3114,4224,13605,0.23,0.21,0.26,0.3,0.9205,0.2526,0.7781,1.9751
